00A77654 0020 CAlignDescriptor: CAffectorDescriptor, CPositionableObjectDescriptor, CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                 
00A7788C 0020 CBoxColliderDescriptor: CColliderDescriptor, CAffectorDescriptor, CPositionableObjectDescriptor, CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                      
00A77904 0020 CColliderDescriptor: CAffectorDescriptor, CPositionableObjectDescriptor, CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                              
00A77C2C 0020 CColorAffectorDescriptor: CAffectorDescriptor, CPositionableObjectDescriptor, CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                         
00A77D3C 0020 CForceAffectorDescriptor: CAffectorDescriptor, CPositionableObjectDescriptor, CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                         
00A78054 0020 CGeometryRotateDescriptor: CAffectorDescriptor, CPositionableObjectDescriptor, CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                        
00A78144 0020 CGravityAffectorDescriptor: CAffectorDescriptor, CPositionableObjectDescriptor, CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                       
00A783F4 0020 CJetAffectorDescriptor: CAffectorDescriptor, CPositionableObjectDescriptor, CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                           
00A785CC 0020 CLineAffectorDescriptor: CAffectorDescriptor, CPositionableObjectDescriptor, CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                          
00A7865C 0020 CLinearForceAffectorDescriptor: CForceAffectorDescriptor, CAffectorDescriptor, CPositionableObjectDescriptor, CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]         
00A78794 0020 CPlaneColliderDescriptor: CColliderDescriptor, CAffectorDescriptor, CPositionableObjectDescriptor, CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                    
00A7884C 0020 CScaleAffectorDescriptor: CAffectorDescriptor, CPositionableObjectDescriptor, CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                         
00A7893C 0020 CSineForceAffectorDescriptor: CForceAffectorDescriptor, CAffectorDescriptor, CPositionableObjectDescriptor, CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]           
00A78A8C 0020 CSphereColliderDescriptor: CColliderDescriptor, CAffectorDescriptor, CPositionableObjectDescriptor, CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                   
00A78C74 0020 CTextureAnimateDescriptor: CAffectorDescriptor, CPositionableObjectDescriptor, CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                        
00A78D74 0020 CTextureRotateDescriptor: CAffectorDescriptor, CPositionableObjectDescriptor, CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                         
00A78E1C 0020 CVortexAffectorDescriptor: CAffectorDescriptor, CPositionableObjectDescriptor, CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                        
